Tweet,clean_text,sentiment_polarity,sentiment_subjectivity,sentiment
BMW M3 xDrive With 600 HP Delivers Furious Acceleration On ... - BMWBLOG https://t.co/9a0UNdPMOM https://t.co/7J28QxkML6,bmw m xdrive with  hp delivers furious acceleration on   bmwblog  ,0.0,0.0,neutral
"A take-anywhere door lock, silicone spikes that keep your shower clean, and a chunk of etched glass that smooths your feet.",a takeanywhere door lock silicone spikes that keep your shower clean and a chunk of etched glass that smooths your feet,0.3666666666666667,0.7000000000000001,positive
"How freaking hard is it to set up a new printer to your phone?  I'll tell you, REALLY fkn hard.  As in IMPOSSIBLE 

Almost 4 hours* and i still have not managed it.

I know I'm no technical genius but fuck me, HP Easy set up is a lie 

I've lost the will to live😭🤯","how freaking hard is it to set up a new printer to your phone  ill tell you really fkn hard  as in impossible 

almost  hours and i still have not managed it

i know im no technical genius but fuck me hp easy set up is a lie 

ive lost the will to live",-0.12439393939393936,0.577121212121212,negative
"Look at me, I'm an @HP printer and I refuse to print anything because the yellow dried up! Greedy bastards.",look at me im an  printer and i refuse to print anything because the yellow dried up greedy bastards,-0.1,0.3,negative
"@FS_Yusuf_ 3. Airconditioner (1.5 hp).

4. 2 all-in-one computer and a printer.

5. Marketing and PR cost.

6. Data and researches.

7. Miscellaneous.

We would break even within 18 months.
https://t.co/Frtfje4f3g","  airconditioner  hp

  allinone computer and a printer

 marketing and pr cost

 data and researches

 miscellaneous

we would break even within  months
",0.0,0.0,neutral
Tried the same app with multiple devices but it is giving me same error. But I am able scan through my hp window laptop,tried the same app with multiple devices but it is giving me same error but i am able scan through my hp window laptop,0.125,0.21875,positive
"Get professional HP printer repair services in Kolkata and the surrounding areas. 
Book a repair today!
https://t.co/AtiUO8AJE5

#hp #hpprinter #printer #printerrepair #hpservice #hpservicecenter #hpprinterrepair #hpprinterrepaircenter #hpprinterservicecenter #Kolkata https://t.co/zNXHU0uhWN","get professional hp printer repair services in kolkata and the surrounding areas 
book a repair today


hp hpprinter printer printerrepair hpservice hpservicecenter hpprinterrepair hpprinterrepaircenter hpprinterservicecenter kolkata ",0.1,0.1,positive
"@oravecpeter I just chucked my HP printer...quit printing.  Going to purchase another soon as there are occasions we need to print something, i.e., insurance cards, etc. https://t.co/XAKe1a5dMJ", i just chucked my hp printerquit printing  going to purchase another soon as there are occasions we need to print something ie insurance cards etc ,0.0,0.0,neutral
"@HPIndia @HP @HPSupport there was a scheduled service visit to repair my printer but no one came…
Really disappointed and disgusting","   there was a scheduled service visit to repair my printer but no one came
really disappointed and disgusting",-0.875,0.875,negative
@ENgibisart @ATEEZofficial it’s the hp envy 4520 printer i think! 🫶🏽,  its the hp envy  printer i think ,0.0,0.0,neutral
@N2theBlue So an HP printer., so an hp printer,0.0,0.0,neutral
"@oravecpeter Technology can be frustrating if it doesn't work as we expect it to!
Don't lose hope just yet! There are plenty of printers out there that will work seamlessly with your Mac, and with a bit of research, you'll find the perfect one for you.🙂
If you need my help, let me know. ^Mat"," technology can be frustrating if it doesnt work as we expect it to
dont lose hope just yet there are plenty of printers out there that will work seamlessly with your mac and with a bit of research youll find the perfect one for you
if you need my help let me know mat",0.2333333333333333,0.6666666666666666,positive
"Paper DELIVERY/Output Tray for M1214, M1216, M1217 Hewlett Packard HP Printer https://t.co/yiB04hr60L",paper deliveryoutput tray for m m m hewlett packard hp printer ,0.0,0.0,neutral
"Chanzon UL Listed 3/6/10ft AC Power Cord for Samsung TV PS4 LG TCL Toshiba Hisense Cannon Pixma HP Dell Epson Printer Sony Pl ZHHXWPT

https://t.co/sM4IiZlBEE","chanzon ul listed ft ac power cord for samsung tv ps lg tcl toshiba hisense cannon pixma hp dell epson printer sony pl zhhxwpt

",0.0,0.0,neutral
OFFER: HP Laserjet 6L computer printer (Kettleshulme SK23) https://t.co/KfjyCyebXO,offer hp laserjet l computer printer kettleshulme sk ,0.0,0.0,neutral
"My 10-year-old printer refused to print on my new Mac, so I angrily went to buy a new one which printed 10 pages and then stopped working. I no longer consider myself a calm person… #hp",my yearold printer refused to print on my new mac so i angrily went to buy a new one which printed  pages and then stopped working i no longer consider myself a calm person hp,0.018181818181818188,0.6647727272727273,positive
"Save 30% Off M1-K9 Collars Today!
#GermanShepherd,#Pitbull,#Malinois","save  off mk collars today
germanshepherdpitbullmalinois",0.0,0.0,neutral
We make gourmet marshmallows by hand in small batches.,we make gourmet marshmallows by hand in small batches,-0.25,0.4,negative
Domino’s recipe for success is to maximize the uptime of your printers to ensure your products are shipped on time.,dominos recipe for success is to maximize the uptime of your printers to ensure your products are shipped on time,0.3,0.0,positive
"When quality and reliability matter, choose Original HP Ink and Toner Cartridges compatible with your HP inkjet or laser printer. HP Series Original Cartridges now available on our website!

#FrontosaIT #HP #printerink #ink #cartridge #toner https://t.co/Dtz82MwrBn","when quality and reliability matter choose original hp ink and toner cartridges compatible with your hp inkjet or laser printer hp series original cartridges now available on our website

frontosait hp printerink ink cartridge toner ",0.3833333333333333,0.6333333333333333,positive
"Like It👍 from Computers &amp; Accessories in Amazon

HP 952XL Black High-yield Ink Cartridge…

Original HP Ink is engineered to work with HP printers to provide consistent qu…

https://t.co/J9qgivgY19","like it from computers amp accessories in amazon

hp xl black highyield ink cartridge

original hp ink is engineered to work with hp printers to provide consistent qu

",0.1527777777777778,0.4777777777777778,positive
"@HP Hi guys, I have a smart ink account, but I can't log in and cancel my subscription (the printer is no longer in use).", hi guys i have a smart ink account but i cant log in and cancel my subscription the printer is no longer in use,0.21428571428571427,0.6428571428571429,positive
"HP DesignJet T2600 Multifunction Printer series
Collaborate seamlessly with the smart 15.6-inch interface, enabling teams to quickly access shared folders to print, copy, scan, and share from a single device: the HP Designjet T2600 MFP. https://t.co/SXNwn66OSL","hp designjet t multifunction printer series
collaborate seamlessly with the smart inch interface enabling teams to quickly access shared folders to print copy scan and share from a single device the hp designjet t mfp ",0.14404761904761904,0.36428571428571427,positive
https://t.co/QRM8EysJBR https://t.co/nL67Et7EL4 HP Printer &amp; Scan Software - https://t.co/d8SFGrgv9p Win + Mac #Computer #Printer #Drivers #Software,  hp printer amp scan software   win  mac computer printer drivers software,0.8,0.4,positive
"Before throwing it out, I made sure no one else could use this printer again and be exploited by @HP. https://t.co/g6R5oeBfFA",before throwing it out i made sure no one else could use this printer again and be exploited by  ,0.5,0.8888888888888888,positive
"https://t.co/6ZItCZxcmK How To Copy, Print &amp; Scan with HP Deskjet 2700e Printer Using HP Smart App #Computer #Printer #Drivers #Software", how to copy print amp scan with hp deskjet e printer using hp smart app computer printer drivers software,0.21428571428571427,0.6428571428571429,positive
https://t.co/MqqqAfSdJh HP Printer Connect to Wi-Fi - 123 HP Deskjet 2700e Install #Computer #Printer #Drivers #Software, hp printer connect to wifi   hp deskjet e install computer printer drivers software,0.0,0.0,neutral
https://t.co/m8nrdG73E5 Create HP Smart App Account &amp; Activate HP+ Printer (Windows + Mac) #Computer #Printer #Drivers #Software, create hp smart app account amp activate hp printer windows  mac computer printer drivers software,0.21428571428571427,0.6428571428571429,positive
@HPSupport how can I recycle my HP printer cartridges in the UAE? Is there a programme or drop off point ? Can’t find any info online, how can i recycle my hp printer cartridges in the uae is there a programme or drop off point  cant find any info online,0.0,0.0,neutral
"https://t.co/law6m8NQuS 123 HP LaserJet Managed MFP E826, E877 Series Setup #shorts #Computer #Printer #Drivers #Software",  hp laserjet managed mfp e e series setup shorts computer printer drivers software,0.0,0.0,neutral
https://t.co/1QP4ipWQh9 HP Smart Tank 500 Printer Setup | https://t.co/h7xoWKFIHR #Computer #Printer #Drivers #Software, hp smart tank  printer setup   computer printer drivers software,0.21428571428571427,0.6428571428571429,positive
https://t.co/GKo3OeY88W HP Printer Support Number | 123 HP Printer Setup Support #Computer #Printer #Drivers #Software, hp printer support number   hp printer setup support computer printer drivers software,0.0,0.0,neutral
"@RichardJMurphy I'm not sure Twitter is worse. My experience is it's mostly the same. I've used plenty of products where the quality went from very good to utter crap, e.g. HP printers.", im not sure twitter is worse my experience is its mostly the same ive used plenty of products where the quality went from very good to utter crap eg hp printers,-0.005714285714285735,0.6705555555555556,negative
"BRUH why did i have to pay for my printer ink subscription. I cancelled it BECAUSE I HAVE NO PRINTER. IT GOT DESTROYED

HP fix your shit","bruh why did i have to pay for my printer ink subscription i cancelled it because i have no printer it got destroyed

hp fix your shit",-0.2,0.8,negative
@SantiagoRArias Please drop me a direct message with the printer's serial number., please drop me a direct message with the printers serial number,0.1,0.4,positive
"@kiwibrew @HP Only use my printer for scanning now, on rare occasion I have to print to paper I go to the library. Seeing the inside and what daily head cleaning results in was last straw.",  only use my printer for scanning now on rare occasion i have to print to paper i go to the library seeing the inside and what daily head cleaning results in was last straw,0.075,0.49166666666666664,positive
"@SantiagoRArias Thanks for the confirmation. 
Are you trying to configure the printer for the first time and how are you trying to configure it?"," thanks for the confirmation 
are you trying to configure the printer for the first time and how are you trying to configure it",0.225,0.26666666666666666,positive
@ChiragMiddha12 @merlin_impact ill be using him with alhaitham and already saved some hp deepwood pieces.. idk maybe 2 pc hp will be better but we'll see 🙃,  ill be using him with alhaitham and already saved some hp deepwood pieces idk maybe  pc hp will be better but well see ,0.0,0.75,neutral
"HP ProDesk Desktop RGB Lights Computer Intel Core i5 4570 3.2 GHz 8GB RAM 256GB SSD Win 10 Pro WiFi, Gaming PC Keyboard, Mouse(Renewed) https://t.co/keWL18Lxyi",hp prodesk desktop rgb lights computer intel core i   ghz gb ram gb ssd win  pro wifi gaming pc keyboard mouserenewed ,0.8,0.4,positive
"HP ELITEBOOK 840 PC
14 Inch Touchscreen 
Processor Intel core i7
Storage 8GB RAM/256GB SSD
Processor Speed 2.5ghz  
Windows 10 pro installed
Six Month  Warranty

Price 38,000 Kes 

CALL WHATSAPP
+254701846097

Northlands Raila Rigathi Gachagua Ruiru Moses Kuria Maandamano kikuyus https://t.co/aOpd0XRWAN","hp elitebook  pc
 inch touchscreen 
processor intel core i
storage gb ramgb ssd
processor speed ghz  
windows  pro installed
six month  warranty

price  kes 

call whatsapp


northlands raila rigathi gachagua ruiru moses kuria maandamano kikuyus ",0.0,0.0,neutral
"HP EliteDesk 8200 Business Desktop PC – Intel i7, 16GB Ram, 500GB SSD, Windows 10 Pro 64bit, New 24 Monitor, RGB Productivity Bundle (Renewed) https://t.co/WrT1Pulcpl",hp elitedesk  business desktop pc  intel i gb ram gb ssd windows  pro bit new  monitor rgb productivity bundle renewed ,0.13636363636363635,0.45454545454545453,positive
@UnniBad why won't you REPLACE THE FUCKING MAGENTA CARTRIDGE I NEED IT TO PRINT IN BLACK, why wont you replace the fucking magenta cartridge i need it to print in black,-0.3833333333333333,0.6166666666666667,negative
Introducing the return of Back to school offer only at HP World stores. #hp #hpworld #hpdesktops #hpindia #hpallinone #hpw #hpprinter #hplaptops https://t.co/jaYzUuR9gz,introducing the return of back to school offer only at hp world stores hp hpworld hpdesktops hpindia hpallinone hpw hpprinter hplaptops ,0.0,0.5,neutral
"https://t.co/weok5IRlOy

HP Printer Paper | 8.5 x 11 Paper | Copy &amp;Print 20 lb | 5 Ream Case - 2500 Sheets| 92 Bright Made in USA - FSC Certified...

Pay only ₹31.95","

hp printer paper   x  paper  copy ampprint  lb   ream case   sheets  bright made in usa  fsc certified

pay only ",0.35000000000000003,0.8999999999999999,positive
"@HP @HPSupport Once I figure out how to print a *single* piece of paper, this printer is going directly into the trash. This business practice is bad for the environment, bad for consumers, and only boosts profits (until people stop paying for this nonsense.)",  once i figure out how to print a single piece of paper this printer is going directly into the trash this business practice is bad for the environment bad for consumers and only boosts profits until people stop paying for this nonsense,-0.2742857142857142,0.5895238095238095,negative
"I’ve used them for decades but I will never, ever buy another @HP printer. This subscription scam nonsense should be illegal @HPSupport https://t.co/ZOKI2FXFUX",ive used them for decades but i will never ever buy another  printer this subscription scam nonsense should be illegal  ,-0.5,0.5,negative
"HP 901 Black Cartridge CC653AN Original HP cartridges: Original ink for your HP printer.,Up to 2x more prints with Original HP inks than with refillable ink cartridges.,Cartridge yield (approx.)... https://t.co/zDbVG0BxGn",hp  black cartridge ccan original hp cartridges original ink for your hp printerup to x more prints with original hp inks than with refillable ink cartridgescartridge yield approx ,0.2916666666666667,0.6366666666666667,positive
